epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,779.529,0.54523,0.53798,1.00722,0.96464,0.91595,0.9419,0.84739,0.50923,0.45713,1.01038,0.000330078,0.000330078,0.000330078
73,790.09,0.53395,0.53241,1.01294,0.95596,0.92768,0.95619,0.8673,0.48752,0.43621,0.99619,0.000319079,0.000319079,0.000319079
74,801.321,0.5308,0.53302,1.00174,0.96281,0.92086,0.9567,0.86362,0.50289,0.4406,0.99395,0.00030808,0.00030808,0.00030808
75,812.186,0.52735,0.52836,1.00489,0.96684,0.92276,0.95155,0.86841,0.47105,0.4132,0.98201,0.000297081,0.000297081,0.000297081
76,823.133,0.49833,0.50597,0.98462,0.97683,0.91724,0.95694,0.86683,0.48492,0.4307,0.9801,0.000286083,0.000286083,0.000286083
77,833.8,0.50302,0.50772,0.99307,0.96072,0.91489,0.95111,0.86826,0.48298,0.45608,0.9917,0.000275084,0.000275084,0.000275084
78,845.041,0.49204,0.50166,0.98917,0.96078,0.91903,0.95536,0.87327,0.46276,0.41897,0.98406,0.000264085,0.000264085,0.000264085
79,856.121,0.48776,0.50602,0.97612,0.95612,0.92939,0.95845,0.87524,0.477,0.40483,0.98278,0.000253086,0.000253086,0.000253086
80,866.752,0.4796,0.46789,0.97803,0.97556,0.92933,0.95889,0.86827,0.47122,0.40099,0.97769,0.000242087,0.000242087,0.000242087
81,877.571,0.51385,0.47565,1.00688,0.96778,0.91555,0.95712,0.87148,0.46094,0.42113,0.97795,0.000231088,0.000231088,0.000231088
82,888.354,0.51155,0.48325,1.0126,0.98147,0.915,0.95718,0.87451,0.46741,0.41177,0.97538,0.000220089,0.000220089,0.000220089
83,898.922,0.49152,0.49409,0.98395,0.96577,0.91771,0.95717,0.88219,0.43998,0.40573,0.96306,0.00020909,0.00020909,0.00020909
84,909.733,0.47506,0.47063,0.96435,0.97682,0.92093,0.95559,0.88612,0.43755,0.37479,0.95869,0.000198091,0.000198091,0.000198091
85,921.212,0.48176,0.4515,0.98104,0.96978,0.93331,0.95649,0.88049,0.45268,0.38702,0.96457,0.000187092,0.000187092,0.000187092
86,932.364,0.45722,0.44918,0.97121,0.96426,0.93104,0.95477,0.87675,0.44978,0.39278,0.96808,0.000176094,0.000176094,0.000176094
87,946.545,0.48816,0.48112,0.97204,0.9662,0.93292,0.95616,0.88626,0.43471,0.39211,0.95905,0.000165095,0.000165095,0.000165095
88,960.817,0.48726,0.48258,0.98746,0.96363,0.92646,0.95617,0.887,0.43654,0.37897,0.95706,0.000154096,0.000154096,0.000154096
89,974.35,0.4842,0.4655,0.97775,0.97816,0.92963,0.95547,0.88786,0.42776,0.379,0.96061,0.000143097,0.000143097,0.000143097
